Customer ID,Customer Name,Segment,Country,Region,State,City
C0001,Core Distribution Ltd.,Small Business,Brazil,South,RS,Porto Alegre
C0002,Patricia Carvalho,Consumer,Brazil,North,TO,Palmas
C0003,BlueWave Office Ltd.,Small Business,Brazil,Southeast,MG,Belo Horizonte
C0004,Harbor Commerce S.A.,Enterprise,Brazil,Northeast,PE,Recife
C0005,Capital Logistics Ltd.,Small Business,Brazil,Southeast,SP,Sao Paulo
C0006,Vertex Commerce S.A.,Enterprise,Brazil,Northeast,BA,Salvador
C0007,Thiago Martins,Consumer,Brazil,North,PA,Belem
C0008,Julia Silva,Consumer,Brazil,South,SC,Florianopolis
C0009,Patricia Pereira,Consumer,Brazil,Northeast,CE,Fortaleza
C0010,Beatriz Almeida,Consumer,Brazil,South,SC,Florianopolis
C0011,Julia Lima,Consumer,Brazil,Southeast,MG,Belo Horizonte
C0012,Vertex Commerce Ltd.,Small Business,Brazil,South,PR,Curitiba
C0013,Core Solutions Ltd.,Small Business,Brazil,Southeast,MG,Belo Horizonte
C0014,Eduardo Martins,Consumer,Brazil,Southeast,MG,Belo Horizonte
C0015,Alice Carvalho,Consumer,Brazil,Southeast,MG,Belo Horizonte
C0016,Nova Commerce Ltd.,Small Business,Brazil,Northeast,CE,Fortaleza
C0017,Vertex Trading Ltd.,Small Business,Brazil,South,PR,Curitiba
C0018,Core Office Ltd.,Small Business,Brazil,South,PR,Curitiba
C0019,Capital Distribution Ltd.,Small Business,Brazil,Northeast,PE,Recife
C0020,Giovana Costa,Consumer,Brazil,Southeast,RJ,Rio de Janeiro
C0021,Thiago Silva,Consumer,Brazil,South,SC,Florianopolis
C0022,Vanessa Lima,Consumer,Brazil,Southeast,SP,Sao Paulo
C0023,TrueNorth Group Ltd.,Small Business,Brazil,South,RS,Porto Alegre
C0024,Giovana Oliveira,Consumer,Brazil,Midwest,GO,Goiania
C0025,Patricia Martins,Consumer,Brazil,Southeast,MG,Belo Horizonte
C0026,Vanessa Oliveira,Consumer,Brazil,South,RS,Porto Alegre
C0027,Harbor Trading Ltd.,Small Business,Brazil,South,PR,Curitiba
C0028,Sterling Distribution Ltd.,Small Business,Brazil,South,PR,Curitiba
C0029,Vanessa Almeida,Consumer,Brazil,North,PA,Belem
C0030,Fernanda Carvalho,Consumer,Brazil,North,TO,Palmas
C0031,Nova Retail Ltd.,Small Business,Brazil,South,SC,Florianopolis
C0032,Lighthouse Trading S.A.,Enterprise,Brazil,South,PR,Curitiba
C0033,Daniel Costa,Consumer,Brazil,Northeast,PE,Recife
C0034,Golden Solutions Ltd.,Small Business,Brazil,Northeast,CE,Fortaleza
C0035,Golden Markets Ltd.,Small Business,Brazil,Northeast,BA,Salvador
C0036,Daniel Almeida,Consumer,Brazil,Southeast,SP,Sao Paulo
C0037,Caio Oliveira,Consumer,Brazil,Southeast,MG,Belo Horizonte
C0038,Yasmin Gomes,Consumer,Brazil,North,PA,Belem
C0039,Alice Oliveira,Consumer,Brazil,Northeast,BA,Salvador
C0040,Prime Retail Ltd.,Small Business,Brazil,Midwest,MT,Cuiaba
C0041,Sterling Distribution Ltd.,Small Business,Brazil,South,RS,Porto Alegre
