Order ID,Order Line Number,Order Date,Ship Date,Customer ID,Customer Name,Segment,Country,Region,State,City,Product ID,Product Name,Category,Sub-Category,Sales Amount,Quantity,Unit Price,Gross Sales Amount,Discount,Discount Amount,Cost,Profit,Sales Channel,Sales Rep,Returned Flag
ORD-202401-00002,1,2024-01-01,2024-01-04,C0216,Union Retail Ltd.,Small Business,Brazil,Southeast,RJ,Rio de Janeiro,P016,ModShelf Plus,Furniture,Storage,444.15,2,231.17,462.34,0.0393,18.19,291.15,153.0,Direct Sales,Larissa Araujo,0
ORD-202401-00002,2,2024-01-01,2024-01-04,C0216,Union Retail Ltd.,Small Business,Brazil,Southeast,RJ,Rio de Janeiro,P012,TaskSeat Essential,Furniture,Chairs,541.51,3,187.88,563.64,0.0393,22.13,340.65,200.86,Direct Sales,Larissa Araujo,0
ORD-202401-00044,1,2024-01-01,2024-01-02,C0169,Lucas Silva,Consumer,Brazil,Northeast,PE,Recife,P019,Premium Paper Pack,Office Supplies,Paper,135.57,8,17.72,141.76,0.0437,6.19,106.48,29.09,Online,Felipe Santos,0
ORD-202401-00044,2,2024-01-01,2024-01-02,C0169,Lucas Silva,Consumer,Brazil,Northeast,PE,Recife,P022,Economy Binder Set,Office Supplies,Binders,154.22,9,17.32,155.88,0.0107,1.66,86.71,67.51,Online,Felipe Santos,1
ORD-202401-00044,3,2024-01-01,2024-01-02,C0169,Lucas Silva,Consumer,Brazil,Northeast,PE,Recife,P024,Marker Kit,Office Supplies,Writing,189.81,13,14.94,194.22,0.0227,4.41,99.65,90.16,Online,Felipe Santos,0
ORD-202401-00075,1,2024-01-01,2024-01-05,C0240,Nicolas Pereira,Consumer,Brazil,Midwest,GO,Goiania,P018,Compact Side Table,Furniture,Tables,236.67,2,123.01,246.02,0.038,9.35,190.21,46.46,Distributors,Henrique Souza,0
ORD-202401-00075,2,2024-01-01,2024-01-05,C0240,Nicolas Pereira,Consumer,Brazil,Midwest,GO,Goiania,P008,FlexMouse Wireless,Technology,Accessories,355.06,10,36.7,367.0,0.0325,11.94,214.32,140.75,Distributors,Henrique Souza,0
ORD-202401-00094,1,2024-01-01,2024-01-05,C0139,Helena Gomes,Consumer,Brazil,Northeast,PE,Recife,P010,FocusCam Pro,Technology,Accessories,462.06,5,95.8,479.0,0.0354,16.94,284.93,177.13,Online,Felipe Santos,0
ORD-202401-00094,2,2024-01-01,2024-01-05,C0139,Helena Gomes,Consumer,Brazil,Northeast,PE,Recife,P005,LaserJet Office X1,Technology,Printers,818.06,2,435.22,870.44,0.0602,52.38,666.21,151.85,Online,Felipe Santos,0
ORD-202401-00094,3,2024-01-01,2024-01-05,C0139,Helena Gomes,Consumer,Brazil,Northeast,PE,Recife,P009,TypeEdge Keyboard,Technology,Accessories,189.59,3,65.81,197.43,0.0397,7.84,123.57,66.02,Online,Felipe Santos,0
ORD-202401-00112,1,2024-01-01,2024-01-04,C0131,BlueWave Distribution Ltd.,Small Business,Brazil,Northeast,CE,Fortaleza,P003,VisionView 24,Technology,Monitors,1280.8,4,329.56,1318.24,0.0284,37.44,1003.15,277.65,Direct Sales,Felipe Santos,0
ORD-202401-00134,1,2024-01-01,2024-01-04,C0116,Caio Ribeiro,Consumer,Brazil,Midwest,DF,Brasilia,P021,Exec Binder Set,Office Supplies,Binders,324.87,12,27.77,333.24,0.0251,8.37,197.95,126.93,Direct Sales,Gabriela Moura,0
ORD-202401-00134,2,2024-01-01,2024-01-04,C0116,Caio Ribeiro,Consumer,Brazil,Midwest,DF,Brasilia,P013,LiftDesk 120,Furniture,Desks,617.01,1,641.12,641.12,0.0376,24.11,454.3,162.71,Direct Sales,Gabriela Moura,0
ORD-202401-00134,3,2024-01-01,2024-01-04,C0116,Caio Ribeiro,Consumer,Brazil,Midwest,DF,Brasilia,P008,FlexMouse Wireless,Technology,Accessories,191.22,5,38.95,194.75,0.0181,3.53,106.35,84.87,Direct Sales,Gabriela Moura,0
ORD-202401-00037,1,2024-01-02,2024-01-04,C0057,Atlas Services Ltd.,Small Business,Brazil,Midwest,DF,Brasilia,P014,WorkBench 160,Furniture,Desks,864.41,1,891.58,891.58,0.0305,27.17,620.09,244.31,Retail Stores,Henrique Souza,0
ORD-202401-00051,1,2024-01-02,2024-01-05,C0223,Core Distribution S.A.,Enterprise,Brazil,South,SC,Florianopolis,P002,ApexBook 15 Pro,Technology,Laptops,2045.62,1,2110.57,2110.57,0.0308,64.95,1489.49,556.14,Retail Stores,Mateus Ribeiro,0
ORD-202401-00051,2,2024-01-02,2024-01-05,C0223,Core Distribution S.A.,Enterprise,Brazil,South,SC,Florianopolis,P005,LaserJet Office X1,Technology,Printers,425.54,1,437.54,437.54,0.0274,12.0,336.39,89.15,Retail Stores,Mateus Ribeiro,0
ORD-202401-00054,1,2024-01-02,2024-01-05,C0103,Patricia Santos,Consumer,Brazil,Southeast,MG,Belo Horizonte,P009,TypeEdge Keyboard,Technology,Accessories,431.27,6,74.99,449.94,0.0415,18.67,248.72,182.55,Retail Stores,Larissa Araujo,0
ORD-202401-00054,2,2024-01-02,2024-01-05,C0103,Patricia Santos,Consumer,Brazil,Southeast,MG,Belo Horizonte,P016,ModShelf Plus,Furniture,Storage,1044.69,5,220.47,1102.35,0.0523,57.66,706.39,338.31,Retail Stores,Larissa Araujo,0
ORD-202401-00087,1,2024-01-02,2024-01-05,C0162,Karen Fernandes,Consumer,Brazil,South,SC,Florianopolis,P025,Shipping Labels,Office Supplies,Labels,127.84,11,11.86,130.46,0.0201,2.62,54.24,73.6,Online,Mateus Ribeiro,0
ORD-202401-00087,2,2024-01-02,2024-01-05,C0162,Karen Fernandes,Consumer,Brazil,South,SC,Florianopolis,P010,FocusCam Pro,Technology,Accessories,84.82,1,87.96,87.96,0.0357,3.14,55.33,29.49,Online,Mateus Ribeiro,0
